Region,Shopping Centre
Melbourne CBD,"Collins Place,Collins Street"
Melbourne CBD,"Emporium Melbourne,Bourke Street"
Melbourne CBD,"Block Arcade,Collins Street"
Melbourne CBD,"The District Docklands,Docklands"
Melbourne CBD,"Galleria,Elizabeth Street"
Melbourne CBD,"Melbourne Central,Lonsdale Street"
Melbourne CBD,"Melbourne GPO,Bourke Street"
Melbourne CBD,"QV Village,Lonsdale Street"
Melbourne CBD,"Royal Arcade,Bourke Street"
Melbourne CBD,"St Collins Lane,Collins Street"
Melbourne CBD,"Southbank Promenade,Southbank"
Melbourne CBD,"Kmart Centre,Bourke Street"
Melbourne suburbs,"Armada Dandenong Plaza,Dandenong"
Melbourne suburbs,"Bayside Shopping Centre,Frankston"
Melbourne suburbs,"Box Hill Central,Box Hill"
Melbourne suburbs,"Broadmeadows Central,Broadmeadows"
Melbourne suburbs,"Caulfield Plaza Shopping Centre,Caulfield"
Melbourne suburbs,"Chadstone Shopping Centre,Malvern East"
Melbourne suburbs,"Chirnside Park Shopping Centre,Chirnside Park"
Melbourne suburbs,"DFO Essendon,Essendon Fields"
Melbourne suburbs,"DFO Moorabbin,Cheltenham"
Melbourne suburbs,"DFO South Wharf,South Wharf"
Melbourne suburbs,"DFO Unihill,Bundoora"
Melbourne suburbs,"Eastland Shopping Centre,Ringwood"
Melbourne suburbs,"Essendon Fields Shopping Centre,Essendon Fields"
Melbourne suburbs,"Forest Hill Chase Shopping Centre,Forest Hill"
Melbourne suburbs,"Greensborough Plaza,Greensborough"
Melbourne suburbs,"Highpoint Shopping Centre,Maribyrnong"
Melbourne suburbs,"Karingal Hub Shopping Centre,Frankston"
Melbourne suburbs,"Malvern Central,Malvern"
Melbourne suburbs,"Northcote Plaza,Northcote"
Melbourne suburbs,"Northland Shopping Centre,Preston"
Melbourne suburbs,"Pacific Epping,Epping"
Melbourne suburbs,"Pacific Werribee,Werribee"
Melbourne suburbs,"Pran Central,South Yarra"
Melbourne suburbs,"Stockland Highlands,Craigieburn"
Melbourne suburbs,"Stockland Point Cook,Point Cook"
Melbourne suburbs,"Sunshine Marketplace,Sunshine"
Melbourne suburbs,"The Glen Shopping Centre,Glen Waverley"
Melbourne suburbs,"The Jam Factory,South Yarra"
Melbourne suburbs,"The Pines Shopping Centre,Doncaster East"
Melbourne suburbs,"Tooronga Village,Glen Iris"
Melbourne suburbs,"Victoria Gardens Shopping Centre,Richmond"
Melbourne suburbs,"Watergardens Town Centre,Taylors Lakes"
Melbourne suburbs,"Waverley Gardens Shopping Centre,Mulgrave"
Melbourne suburbs,"Westfield Airport West,Airport West"
Melbourne suburbs,"Westfield Doncaster,Doncaster"
Melbourne suburbs,"Westfield Fountain Gate,Narre Warren"
Melbourne suburbs,"Westfield Knox,Wantirna South"
Melbourne suburbs,"Westfield Plenty Valley,South Morang"
Melbourne suburbs,"Westfield Southland,Cheltenham"
Melbourne suburbs,"Uni Hill Factory Outlets,Bundoora"
Geelong,"Market Square Shopping Centre,Geelong"
Geelong,"Waurn Ponds Shopping Centre,Waurn Ponds"
Geelong,Westfield Geelong
Regional,"Central Square,Ballarat"
Regional,"Gateway Plaza,Warrnambool"
Regional,"Horsham Plaza,Horsham"
Regional,"Mildura Central,Mildura"
Regional,"Riverside Plaza,Kialla"
Regional,"Stockland Wendouree,Wendouree(Ballarat)"
Regional,"Traralgon Centre Plaza,Traralgon"
Regional,"Wodonga Plaza,Wodonga"
