addressLocality,station_count
Aircraft,1
Alamein,1
Albion,1
Alphington,1
Altona,1
Anstey,1
Armadale,1
Ascot Vale,1
Ashburton,1
Aspendale,1
Auburn,1
Balaclava,1
Batman,1
Baxter,1
Bayswater,1
Beaconsfield,1
Belgrave,1
Bell,1
Bentleigh,1
Berwick,1
Bittern,1
Blackburn,1
Bonbeach,1
Boronia,1
Box Hill,1
Brighton Beach,1
Broadmeadows,1
Brunswick,1
Burnley,1
Burwood,1
Camberwell,1
Canterbury,1
Cardinia Road,1
Carnegie,1
Carrum,1
Caulfield,1
Chatham,1
Chelsea,1
Cheltenham,1
Clayton,1
Clifton Hill,1
Coburg,1
Collingwood,1
Coolaroo,1
Craigieburn,1
Cranbourne,1
Crib Point,1
Croxton,1
Croydon,1
Dandenong,1
Darebin,1
Darling,1
Dennis,1
Diamond Creek,1
Diggers Rest,1
Eaglemont,1
East Camberwell,1
East Malvern,1
East Richmond,1
East Pakenham,1
Edithvale,1
Elsternwick,1
Eltham,1
Epping,1
Essendon,1
Fairfield,1
Fawkner,1
Ferntree Gully,1
Melbourne,5
Flemington Bridge,1
Flemington Racecourse,1
Footscray,1
Frankston,1
Gardenvale,1
Gardiner,1
Ginifer,1
Glen Huntly,1
Glen Iris,1
Glen Waverley,1
Glenbervie,1
Glenferrie,1
Glenroy,1
Gowrie,1
Greensborough,1
Hallam,1
Hampton,1
Hartwell,1
Hastings,1
Hawksburn,1
Hawkstowe,1
Hawthorn,1
Heatherdale,1
Heathmont,1
Heidelberg,1
Heyington,1
Highett,1
Holmesglen,1
Hoppers Crossing,1
Hughesdale,1
Huntingdale,1
Hurstbridge,1
Ivanhoe,1
Jacana,1
Jewell,1
Jolimont,1
Jordanville,1
Kananook,1
Keilor Plains,1
Kensington,1
Keon Park,1
Kooyong,1
Laburnum,1
Lalor,1
Laverton,1
Leawarra,1
Lilydale,1
Lynbrook,1
Macaulay,1
Macleod,1
Malvern,1
McKinnon,1
Mentone,1
Merinda Park,1
Merlynston,1
Mernda,1
Merri,1
Middle Brighton,1
Middle Footscray,1
Middle Gorge,1
Mitcham,1
Montmorency,1
Moonee Ponds,1
Moorabbin,1
Mooroolbark,1
Mordialloc,1
Moreland,1
Morradoo,1
Mount Waverley,1
Murrumbeena,1
Narre Warren,1
Newmarket,1
Newport,1
Noble Park,1
North Brighton,1
North Melbourne,1
North Richmond,1
North Williamstown,1
Northcote,1
Nunawading,1
Oak Park,1
Oakleigh,1
Officer,1
Ormond,1
Pakenham,1
Parkdale,1
Pascoe Vale,1
Patterson,1
Prahran,1
Preston,1
Regent,1
Reservoir,1
Richmond,1
Ringwood,1
Ringwood East,1
Ripponlea,1
Riversdale,1
Rosanna,1
Roxburgh Park,1
Royal Park,1
Rushall,1
Ruthven,1
Sandown Park,1
Sandringham,1
Seaford,1
Seaholme,1
Seddon,1
Showgrounds,1
Somerville,1
South Kensington,1
South Morang,1
South Yarra,1
Southland,1
Spotswood,1
Springvale,1
St Albans,1
Stony Point,1
Strathmore,1
Sunbury,1
Sunshine,1
Syndal,1
Tecoma,1
Thomastown,1
Thornbury,1
Toorak,1
Tooronga,1
Tottenham,1
Tyabb,1
Union,1
Upfield,1
Upper Ferntree Gully,1
Upwey,1
Victoria Park,1
Watergardens,1
Watsonia,1
Wattle Glen,1
Werribee,1
West Footscray,1
West Richmond,1
Westall,1
Westgarth,1
Westona,1
Williams Landing,1
Williamstown,1
Williamstown Beach,1
Willison,1
Windsor,1
Yarraman,1
Yarraville,1
