addressLocality,shopping_cen_count
Melbourne,10
Docklands,1
Southbank,1
Dandenong,1
Frankston,2
Box Hill,1
Broadmeadows,1
Caulfield,1
Malvern East,1
Chirnside Park,1
Essendon Fields,2
Cheltenham,2
South Wharf,1
Bundoora,2
Ringwood,1
Forest Hill,1
Greensborough,1
Maribyrnong,1
Malvern,1
Northcote,1
Preston,1
Epping,1
Werribee,1
South Yarra,2
Craigieburn,1
Point Cook,1
Sunshine,1
Glen Waverley,1
Doncaster East,1
Glen Iris,1
Richmond,1
Taylors Lakes,1
Mulgrave,1
Airport West,1
Doncaster,1
Narre Warren,1
Wantirna South,1
South Morang,1
Geelong,2
Waurn Ponds,1
Ballarat,1
Warrnambool,1
Horsham,1
Mildura,1
Kialla,1
Wendouree,1
Traralgon,1
Wodonga,1
